crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2018,Otago Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Dark,Traffic Signals,Open
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2019,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2006,Wellington Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2025,Manawatū-Whanganui Region,Heavy rain,Sealed,Twilight,Give way,Urban
Minor Crash,2019,Southland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2000,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2011,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Give way,Open
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2017,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Serious Crash,2025,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2016,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2002,Southland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2010,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2013,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2004,Gisborne Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2010,Wellington Region,Heavy rain,Sealed,Dark,Give way,Open
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2014,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2017,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2012,Northland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2019,West Coast Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2006,Waikato Region,Light rain,Sealed,Dark,Nil,Open
Minor Crash,2019,Tasman Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2015,Otago Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2022,Marlborough Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2015,Hawke's Bay Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2016,Canterbury Region,Fine,Sealed,Twilight,Unknown,Urban
Non-Injury Crash,2013,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2013,Northland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2005,Canterbury Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2009,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Waikato Region,Fine,Sealed,Twilight,Give way,Open
Minor Crash,2013,Waikato Region,Mist or Fog,Sealed,Dark,Give way,Urban
Non-Injury Crash,2010,Waikato Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2022,Taranaki Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2020,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2002,Waikato Region,Fine,Sealed,Overcast,Stop,Open
Non-Injury Crash,2000,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2026,Manawatū-Whanganui Region,Fine,Sealed,Twilight,Nil,Urban
Minor Crash,2014,Taranaki Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2023,Taranaki Region,Light rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2023,Bay of Plenty Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2014,Gisborne Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2017,Waikato Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Serious Crash,2021,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2010,Southland Region,Fine,Sealed,Overcast,Unknown,Urban
Minor Crash,2014,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2025,Bay of Plenty Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2004,Wellington Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2022,Auckland Region,Light rain,Sealed,Overcast,Pointsman,Urban
Non-Injury Crash,2011,Nelson Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2009,Nelson Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2023,Northland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2009,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2021,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2003,Marlborough Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2023,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2011,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2015,Hawke's Bay Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2013,Otago Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2005,Hawke's Bay Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2009,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2012,Otago Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2005,Otago Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2009,Canterbury Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2006,Waikato Region,Mist or Fog,Sealed,Dark,Nil,Open
Non-Injury Crash,2022,Bay of Plenty Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2019,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2014,Manawatū-Whanganui Region,Mist or Fog,Sealed,Dark,Nil,Open
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Waikato Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2002,Waikato Region,Light rain,Sealed,Overcast,Nil,Urban
Serious Crash,2008,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2021,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2025,Canterbury Region,Heavy rain,Sealed,Overcast,Nil,Open
Minor Crash,2010,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2020,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2005,Canterbury Region,Light rain,Sealed,Dark,Stop,Urban
Non-Injury Crash,2021,Otago Region,Fine,Sealed,Dark,Nil,Open
Serious Crash,2018,Auckland Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2012,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2026,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2005,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2026,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2006,Bay of Plenty Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2013,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Gisborne Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2015,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2003,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Serious Crash,2008,Waikato Region,Fine,Sealed,Dark,Stop,Open
Non-Injury Crash,2011,Taranaki Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2011,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Fatal Crash,2025,Southland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2024,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Stop,Urban
Minor Crash,2002,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2016,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2018,Auckland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2023,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2018,Northland Region,Null,Sealed,Overcast,Unknown,Urban
Minor Crash,2003,Gisborne Region,Fine,Sealed,Twilight,Nil,Open
Minor Crash,2019,Waikato Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2010,Otago Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2017,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2022,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Twilight,Traffic Signals,Open
Minor Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2006,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2015,Auckland Region,Mist or Fog,Sealed,Overcast,Nil,Urban
Minor Crash,2005,Canterbury Region,Heavy rain,Sealed,Overcast,Stop,Urban
Minor Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2008,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2013,Taranaki Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2013,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2005,Bay of Plenty Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2011,Northland Region,Fine,Sealed,Twilight,Nil,Urban
Serious Crash,2007,Waikato Region,Heavy rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2012,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2009,Canterbury Region,Fine,Sealed,Overcast,Stop,Open
Minor Crash,2013,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2001,Canterbury Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2011,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2010,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2003,Taranaki Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2013,Nelson Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2001,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Minor Crash,2007,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2021,Waikato Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2017,Wellington Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2001,Canterbury Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2008,Canterbury Region,Snow,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2015,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2021,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2003,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2000,Wellington Region,Heavy rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2006,Bay of Plenty Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2003,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2022,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2020,Southland Region,Fine,Unsealed,Overcast,Nil,Open
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2013,Bay of Plenty Region,Light rain,Sealed,Dark,Give way,Urban
Minor Crash,2011,Auckland Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Bright sun,Stop,Open
Minor Crash,2021,Canterbury Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2014,Waikato Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2024,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Open
Non-Injury Crash,2016,Taranaki Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2014,Taranaki Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2024,Bay of Plenty Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2000,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2020,Waikato Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2015,Canterbury Region,Heavy rain,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2025,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2003,Canterbury Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2009,Waikato Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2010,West Coast Region,Heavy rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2008,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2017,Nelson Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2001,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2004,Auckland Region,Light rain,Sealed,Twilight,Unknown,Urban
Minor Crash,2023,Wellington Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2014,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2006,Auckland Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2005,Canterbury Region,Fine,Sealed,Bright sun,Give way,Open
Serious Crash,2017,Southland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2000,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Tasman Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2022,Manawatū-Whanganui Region,Fine,End of seal,Dark,Nil,Open
Minor Crash,2005,Southland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2005,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2001,Taranaki Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2024,Bay of Plenty Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2020,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2007,Nelson Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2011,Northland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2002,Tasman Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Auckland Region,Heavy rain,Sealed,Overcast,Nil,Open
Serious Crash,2011,Northland Region,Mist or Fog,Unsealed,Dark,Nil,Open
Non-Injury Crash,2016,Wellington Region,Light rain,Sealed,Overcast,Unknown,Open
Minor Crash,2016,Northland Region,Fine,Sealed,Twilight,Stop,Urban
Non-Injury Crash,2017,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2015,Wellington Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2007,Canterbury Region,Mist or Fog,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2010,Northland Region,Fine,Sealed,Bright sun,Stop,Urban
Serious Crash,2002,Canterbury Region,Fine,Sealed,Twilight,Unknown,Open
Minor Crash,2008,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2005,Southland Region,Fine,Sealed,Twilight,Nil,Open
Minor Crash,2004,Otago Region,Light rain,Sealed,Dark,Unknown,Open
Minor Crash,2020,Waikato Region,Mist or Fog,Sealed,Dark,Nil,Open
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2016,Southland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2003,Tasman Region,Fine,Sealed,Bright sun,Give way,Open
Minor Crash,2021,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2008,Waikato Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Fatal Crash,2010,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2007,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2005,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2021,Hawke's Bay Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2016,Otago Region,Mist or Fog,Sealed,Dark,Unknown,Open
Minor Crash,2006,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2019,Waikato Region,Null,Sealed,Unknown,Give way,Urban
Non-Injury Crash,2007,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2012,Hawke's Bay Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2013,Waikato Region,Fine,Sealed,Twilight,Unknown,Urban
Non-Injury Crash,2003,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2004,Canterbury Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2017,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2011,Taranaki Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2011,Hawke's Bay Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2022,Auckland Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2021,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2006,Bay of Plenty Region,Light rain,Sealed,Overcast,Give way,Urban
Minor Crash,2003,Northland Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2001,Waikato Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2003,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2001,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2008,Hawke's Bay Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2010,Auckland Region,Light rain,Sealed,Dark,Traffic Signals,Open
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2015,Waikato Region,Fine,Sealed,Twilight,Unknown,Open
Non-Injury Crash,2000,Waikato Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2000,Auckland Region,Heavy rain,Sealed,Overcast,Nil,Open
Serious Crash,2023,Hawke's Bay Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2004,Northland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2016,Nelson Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2020,Wellington Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2003,Wellington Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2013,Canterbury Region,Mist or Fog,Sealed,Dark,Give way,Urban
Non-Injury Crash,2015,Canterbury Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2001,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2024,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Give way,Urban
Minor Crash,2005,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2002,Auckland Region,Heavy rain,Sealed,Dark,Nil,Open
Minor Crash,2022,Canterbury Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2003,Auckland Region,Null,Sealed,Dark,Nil,Urban
Fatal Crash,2022,Northland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2011,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2005,Southland Region,Heavy rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2003,Bay of Plenty Region,Light rain,Sealed,Dark,Nil,Urban
Minor Crash,2003,Canterbury Region,Fine,Unsealed,Overcast,Unknown,Open
Minor Crash,2025,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2004,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2004,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
